region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,class
12,25999,2014,3,3236,4,5,2,49000,5,3,3,8,10,3.0
12,28999,2017,10,2139,4,6,2,5000,5,2,2,12,10,1.0
12,28950,2019,10,1414,4,6,2,2890,3,3,3,10,10,1.0
12,22995,2016,30,12,4,6,2,54252,5,3,2,7,0,3.0
12,10550,2011,27,2975,4,6,2,66328,3,3,3,10,5,3.0
12,30995,2019,10,1180,4,3,2,14649,5,3,3,8,9,3.0
12,12000,2005,30,109,4,5,2,159626,4,3,3,8,10,3.0
12,14995,2010,10,1758,3,6,2,28656,5,2,2,12,1,1.0
12,10995,2011,11,521,3,5,2,135529,5,3,3,8,3,3.0
12,16975,2013,13,975,4,3,2,81226,5,3,3,8,10,2.0
12,13999,2007,23,2753,4,5,2,48130,5,3,2,13,10,2.0
14,21500,2015,11,2624,4,6,2,126520,5,3,1,8,10,3.0
14,3700,2005,22,140,4,3,2,101770,5,3,1,2,9,1.0
14,34495,2012,6,2727,4,6,0,108437,5,3,3,7,0,3.0
14,17500,2018,34,715,5,3,2,33565,5,3,1,8,8,2.0
14,20495,2016,6,1359,4,6,4,33293,5,3,2,1,10,2.0
14,22795,2015,23,2831,4,5,0,216694,5,3,2,1,0,3.0
14,6795,2010,7,3001,4,5,2,123352,5,3,1,1,3,2.0
14,3150,2003,6,3014,4,6,2,101770,5,3,3,8,0,3.0
14,8845,2010,6,2025,4,5,2,61700,5,3,1,4,9,1.0
14,8490,2015,26,2096,4,5,2,51712,5,3,1,2,7,2.0
14,6445,2012,6,2779,4,5,2,99587,5,3,1,4,10,3.0
14,7435,2004,30,12,4,5,2,201312,5,3,2,7,9,1.0
14,5000,2003,34,3077,3,5,2,209000,5,3,2,10,10,1.0
14,10499,2008,32,2744,3,3,2,89869,5,2,2,13,0,3.0
14,23795,2009,6,2709,4,6,0,134031,5,3,3,7,3,1.0
14,9995,2008,11,3161,4,3,0,200000,5,3,2,7,10,2.0
14,26795,2015,6,2707,4,6,4,100616,5,3,3,7,9,3.0
14,29000,2014,10,1376,4,6,2,32000,5,3,3,7,0,2.0
14,7999,2006,10,1174,4,6,2,196000,5,3,1,10,10,3.0
14,27701,2017,23,1699,4,5,2,39106,5,3,3,8,10,2.0
14,21000,2013,34,264,4,5,2,119000,5,3,3,8,10,2.0
14,6500,1999,27,1621,4,3,2,75400,5,3,3,7,9,1.0
14,19000,2010,34,3077,4,6,2,101770,4,3,3,10,0,2.0
14,4500,2004,35,2167,5,3,2,74000,5,3,1,2,11,3.0
14,13500,2004,17,3188,4,5,2,133287,5,3,3,8,3,3.0
