region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,class
12,17899,2012,37,1848,4,3,2,63500,6,2,3,2,0,1.0
12,0,2016,11,1487,4,5,2,10,6,3,3,4,10,2.0
12,0,2016,11,1487,4,5,2,10,6,3,3,4,10,2.0
12,13999,2009,31,1487,4,5,2,120057,6,3,3,7,9,2.0
12,34500,2017,11,1531,4,5,0,95484,6,3,3,7,10,2.0
12,14500,2007,12,2817,4,5,2,89340,6,3,3,7,10,2.0
12,12500,2013,11,1515,4,5,2,226031,6,3,3,7,10,2.0
12,34500,2012,31,1487,4,5,0,128153,6,3,3,7,9,2.0
12,16500,2013,12,3535,4,5,4,156385,6,3,3,8,9,2.0
12,14500,2007,36,3310,4,5,2,135287,6,3,3,7,10,2.0
12,27999,2015,12,2817,4,5,2,73612,6,3,3,7,2,2.0
12,24999,2014,31,121,4,5,0,158156,6,3,3,7,10,1.0
12,8999,2002,7,2873,4,5,2,179098,6,3,3,7,10,1.0
12,5999,2003,24,2689,4,5,2,185220,6,3,3,4,9,2.0
12,31895,2008,18,3414,4,6,2,75000,6,3,3,4,10,2.0
12,9500,2001,11,1417,3,6,0,99164,6,3,3,4,5,3.0
12,4600,2008,14,948,3,3,2,110982,6,3,1,4,5,1.0
12,32995,2014,12,2818,4,6,2,93242,6,3,3,7,5,2.0
12,26950,2015,31,251,4,5,0,68013,4,3,3,10,10,2.0
12,8300,2016,7,3017,5,5,1,28000,6,3,3,4,10,1.0
12,27476,2015,21,2663,4,5,2,41245,6,3,3,8,10,3.0
12,23500,2011,6,1377,4,6,2,80855,6,3,3,8,10,3.0
12,15475,2016,9,1856,4,5,2,58103,6,3,1,4,10,1.0
12,15475,2018,15,1302,4,3,2,11892,6,3,1,4,10,1.0
12,3995,1999,34,2376,4,3,2,215349,6,3,3,3,1,2.0
12,34900,2015,36,3310,4,6,2,42649,6,3,3,10,10,2.0
12,21475,2018,14,948,4,3,2,10683,6,3,1,4,10,1.0
12,14476,2017,11,1284,4,3,2,81130,6,3,3,8,10,2.0
14,23295,2013,21,1888,4,5,2,63842,6,3,2,4,9,3.0
12,0,2016,11,1538,4,5,0,10,6,3,3,4,0,2.0
12,0,2016,11,1683,4,5,2,10,6,3,1,4,10,2.0
12,28248,2014,11,2302,4,5,2,8543,6,2,2,4,0,2.0
12,23800,2010,11,3399,4,5,2,37700,6,3,3,4,10,3.0
12,28000,2004,11,1653,3,7,2,67348,6,3,3,10,10,2.0
12,15995,2014,31,13,4,6,2,103252,6,3,2,7,9,3.0
12,10550,2014,14,2351,4,5,2,79035,4,3,1,6,0,2.0
12,18999,2015,24,989,4,3,2,37000,6,3,1,4,10,3.0
12,18999,2013,4,158,4,5,2,65000,6,3,2,12,0,3.0
12,2500,2004,11,2302,3,5,2,129000,6,2,2,12,1,1.0
12,22995,2013,11,1487,4,6,2,63425,6,3,2,7,8,1.0
12,28895,2016,31,13,4,6,2,19086,6,3,3,10,8,1.0
12,29999,2012,24,998,4,6,2,83000,6,3,2,4,0,3.0
14,14795,2008,21,1900,4,6,2,164666,6,3,3,8,10,2.0
12,8950,2014,8,183,4,5,2,58677,4,3,2,4,5,2.0
12,16500,2006,36,3132,4,5,2,99164,6,2,2,4,8,3.0
12,14900,2010,36,283,4,5,2,78728,6,3,2,8,10,1.0
12,34876,2011,6,1142,4,6,2,48289,6,3,2,12,10,2.0
12,12495,2019,28,648,4,3,2,11092,6,3,1,4,0,1.0
12,32975,2016,18,3402,4,5,2,28282,6,2,3,8,10,2.0
12,6495,2018,11,1683,4,3,2,24469,6,3,1,4,10,2.0
12,31221,2016,24,1234,4,5,2,14222,6,3,3,4,10,3.0
12,19499,2008,18,3402,4,5,2,60004,6,2,3,8,10,3.0
12,0,2014,7,1101,4,3,2,68908,6,3,1,4,10,1.0
